"","country_region_code","country_region","sub_region_1","sub_region_2","metro_area","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"1","MX","Mexico","National","","","",NA,"2020-02-15",6,4,6,4,3,-1
"2","MX","Mexico","National","","","",NA,"2020-02-16",7,6,7,6,2,-1
"3","MX","Mexico","National","","","",NA,"2020-02-17",2,4,3,5,11,-2
"4","MX","Mexico","National","","","",NA,"2020-02-18",0,-1,3,2,9,-2
"5","MX","Mexico","National","","","",NA,"2020-02-19",0,0,2,3,8,-1
"6","MX","Mexico","National","","","",NA,"2020-02-20",0,-1,2,3,7,-1
"7","MX","Mexico","National","","","",NA,"2020-02-21",-2,-2,-1,4,11,-1
"8","MX","Mexico","National","","","",NA,"2020-02-22",0,0,7,4,4,0
"9","MX","Mexico","National","","","",NA,"2020-02-23",2,1,8,7,2,-1
"10","MX","Mexico","National","","","",NA,"2020-02-24",-2,0,6,4,8,-1
"11","MX","Mexico","National","","","",NA,"2020-02-25",-2,-2,7,2,6,-1
"12","MX","Mexico","National","","","",NA,"2020-02-26",-3,-1,3,1,6,-1
"13","MX","Mexico","National","","","",NA,"2020-02-27",1,1,0,2,7,-1
"14","MX","Mexico","National","","","",NA,"2020-02-28",3,6,3,6,12,-2
"15","MX","Mexico","National","","","",NA,"2020-02-29",6,8,5,5,6,-1
"16","MX","Mexico","National","","","",NA,"2020-03-01",6,9,7,7,3,-1
"17","MX","Mexico","National","","","",NA,"2020-03-02",1,6,2,4,10,-2
"18","MX","Mexico","National","","","",NA,"2020-03-03",1,3,2,2,9,-2
"19","MX","Mexico","National","","","",NA,"2020-03-04",1,4,2,3,9,-1
"20","MX","Mexico","National","","","",NA,"2020-03-05",2,3,3,3,8,-1
"21","MX","Mexico","National","","","",NA,"2020-03-06",-1,0,0,3,12,-1
"22","MX","Mexico","National","","","",NA,"2020-03-07",1,2,4,2,6,0
"23","MX","Mexico","National","","","",NA,"2020-03-08",3,3,10,4,3,0
"24","MX","Mexico","National","","","",NA,"2020-03-09",-11,-6,-8,-17,-16,7
"25","MX","Mexico","National","","","",NA,"2020-03-10",-2,0,2,3,9,-2
"26","MX","Mexico","National","","","",NA,"2020-03-11",-1,2,2,2,8,-1
"27","MX","Mexico","National","","","",NA,"2020-03-12",1,4,3,3,8,-2
"28","MX","Mexico","National","","","",NA,"2020-03-13",2,6,3,5,5,-1
"29","MX","Mexico","National","","","",NA,"2020-03-14",2,10,6,4,3,-1
"30","MX","Mexico","National","","","",NA,"2020-03-15",0,7,6,-4,1,-1
"31","MX","Mexico","National","","","",NA,"2020-03-16",-11,5,-7,-30,-54,13
"32","MX","Mexico","National","","","",NA,"2020-03-17",-7,5,-8,-9,-3,2
"33","MX","Mexico","National","","","",NA,"2020-03-18",-13,3,-14,-17,-10,6
"34","MX","Mexico","National","","","",NA,"2020-03-19",-17,1,-16,-22,-14,7
"35","MX","Mexico","National","","","",NA,"2020-03-20",-23,-3,-22,-26,-14,9
"36","MX","Mexico","National","","","",NA,"2020-03-21",-31,-7,-32,-29,-7,9
"37","MX","Mexico","National","","","",NA,"2020-03-22",-37,-13,-37,-33,-10,8
"38","MX","Mexico","National","","","",NA,"2020-03-23",-31,-14,-30,-37,-29,12
"39","MX","Mexico","National","","","",NA,"2020-03-24",-35,-16,-33,-41,-34,14
"40","MX","Mexico","National","","","",NA,"2020-03-25",-37,-16,-36,-44,-36,16
"41","MX","Mexico","National","","","",NA,"2020-03-26",-37,-17,-36,-46,-37,16
"42","MX","Mexico","National","","","",NA,"2020-03-27",-39,-17,-37,-47,-34,17
"43","MX","Mexico","National","","","",NA,"2020-03-28",-40,-14,-39,-43,-18,12
"44","MX","Mexico","National","","","",NA,"2020-03-29",-45,-19,-46,-47,-20,11
"45","MX","Mexico","National","","","",NA,"2020-03-30",-35,-15,-36,-47,-38,15
"46","MX","Mexico","National","","","",NA,"2020-03-31",-35,-15,-37,-48,-41,16
"47","MX","Mexico","National","","","",NA,"2020-04-01",-37,-13,-39,-50,-44,18
"48","MX","Mexico","National","","","",NA,"2020-04-02",-47,-12,-41,-52,-46,19
"49","MX","Mexico","National","","","",NA,"2020-04-03",-56,-11,-43,-52,-43,21
"50","MX","Mexico","National","","","",NA,"2020-04-04",-57,-11,-46,-48,-27,16
"51","MX","Mexico","National","","","",NA,"2020-04-05",-62,-19,-52,-51,-27,13
"52","MX","Mexico","National","","","",NA,"2020-04-06",-54,-15,-41,-54,-49,19
"53","MX","Mexico","National","","","",NA,"2020-04-07",-53,-18,-42,-56,-52,20
"54","MX","Mexico","National","","","",NA,"2020-04-08",-52,-13,-42,-55,-53,20
"55","MX","Mexico","National","","","",NA,"2020-04-09",-58,-16,-46,-62,-64,23
"56","MX","Mexico","National","","","",NA,"2020-04-10",-71,-30,-57,-72,-72,30
"57","MX","Mexico","National","","","",NA,"2020-04-11",-66,-26,-54,-63,-49,20
"58","MX","Mexico","National","","","",NA,"2020-04-12",-65,-29,-58,-57,-31,13
"59","MX","Mexico","National","","","",NA,"2020-04-13",-54,-20,-45,-56,-49,20
"60","MX","Mexico","National","","","",NA,"2020-04-14",-54,-19,-44,-57,-50,21
"61","MX","Mexico","National","","","",NA,"2020-04-15",-51,-13,-44,-56,-50,21
"62","MX","Mexico","National","","","",NA,"2020-04-16",-51,-15,-45,-57,-51,22
"63","MX","Mexico","National","","","",NA,"2020-04-17",-55,-18,-47,-58,-47,24
"64","MX","Mexico","National","","","",NA,"2020-04-18",-59,-23,-51,-55,-29,17
"65","MX","Mexico","National","","","",NA,"2020-04-19",-62,-28,-56,-56,-26,13
"66","MX","Mexico","National","","","",NA,"2020-04-20",-55,-25,-47,-57,-47,20
"67","MX","Mexico","National","","","",NA,"2020-04-21",-58,-28,-50,-60,-50,21
"68","MX","Mexico","National","","","",NA,"2020-04-22",-58,-27,-51,-60,-50,22
"69","MX","Mexico","National","","","",NA,"2020-04-23",-59,-28,-52,-61,-51,23
"70","MX","Mexico","National","","","",NA,"2020-04-24",-61,-28,-53,-62,-47,24
"71","MX","Mexico","National","","","",NA,"2020-04-25",-62,-27,-55,-58,-31,18
"72","MX","Mexico","National","","","",NA,"2020-04-26",-65,-31,-60,-59,-28,14
"73","MX","Mexico","National","","","",NA,"2020-04-27",-58,-28,-51,-60,-48,22
"74","MX","Mexico","National","","","",NA,"2020-04-28",-58,-28,-50,-61,-50,17
"75","MX","Mexico","National","","","",NA,"2020-04-29",-55,-21,-49,-60,-50,22
"76","MX","Mexico","National","","","",NA,"2020-04-30",-47,-10,-45,-57,-49,20
"77","MX","Mexico","National","","","",NA,"2020-05-01",-61,-22,-54,-67,-63,28
"78","MX","Mexico","National","","","",NA,"2020-05-02",-59,-21,-52,-57,-33,18
"79","MX","Mexico","National","","","",NA,"2020-05-03",-63,-28,-58,-58,-25,13
"80","MX","Mexico","National","","","",NA,"2020-05-04",-54,-22,-47,-59,-47,21
"81","MX","Mexico","National","","","",NA,"2020-05-05",-56,-25,-50,-61,-51,22
"82","MX","Mexico","National","","","",NA,"2020-05-06",-56,-23,-49,-61,-49,22
